Region,Subregion,Country_Name,ISO3,Cost_1_GB_USD,Cost_1_GB_Share_GNICM,
Asia,Southern Asia,Afghanistan,AFG,1.91,0.04,4.17 
Africa,Northern Africa,Algeria,DZA,6.70,0.02,1.98 
Africa,Middle Africa,Angola,AGO,6.10,0.02,2.17 
Americas,Southern America,Argentina,ARG,6.84,0.01,0.66 
Asia,Southern Asia,Bangladesh,BGD,2.24,0.02,1.54 
Americas,Central America,Belize,BLZ,17.38,0.04,4.42 
Africa,Western Africa,Benin,BEN,4.28,0.06,5.91 
Americas,Southern America,Bolivia,BOL,5.79,0.02,2.06 
Africa,Southern Africa,Botswana,BWA,8.85,0.01,1.37 
Americas,Southern America,Brazil,BRA,9.83,0.01,1.29 
Africa,Western Africa,Burkina Faso,BFA,4.28,0.08,7.78 
Africa,Eastern Africa,Burundi,BDI,3.17,0.14,13.60 
Asia,South-Eastern Asia,Cambodia,KHM,2.00,0.02,1.74 
Africa,Middle Africa,Cameroon,CMR,3.43,0.03,2.85 
Africa,Western Africa,Cape Verde,CPV,5.09,0.02,1.77 
Africa,Middle Africa,Central African Republic,CAF,9.05,0.23,22.63 
Africa,Middle Africa,Chad,TCD,11.99,0.21,21.47 
Asia,Eastern Asia,China,CHN,5.57,0.01,0.71 
Americas,Southern America,Colombia,COL,9.26,0.02,1.80 
Africa,Eastern Africa,Comoros,COM,5.99,0.05,5.45 
Africa,Middle Africa,Congo Brazzaville,COG,8.73,0.06,6.39 
Americas,Central America,Costa Rica,CRI,6.75,0.01,0.70 
Africa,Western Africa,Cote d'Ivoire,CIV,6.85,0.05,5.11 
Africa,Middle Africa,D.R. Congo,COD,10.71,0.26,26.24 
Americas,Caribbean,Dominican Republic,DOM,7.90,0.01,1.29 
Americas,Southern America,Ecuador,ECU,10.00,0.02,1.96 
Africa,Northern Africa,Egypt,EGY,1.18,0.01,0.50 
Americas,Central America,El Salvador,SLV,10.00,0.03,3.14 
Africa,West Africa,Equatorial Guinea,GNQ,34.25,NA,NA
Africa,Eastern Africa,Ethiopia,ETH,3.48,0.05,5.28 
Oceania,Melanesia,Fiji,FJI,13.94,0.03,2.85 
Africa,Middle Africa,Gabon,GAB,6.85,0.01,1.21 
Africa,Western Africa,Gambia,GMB,5.04,0.09,8.64 
Asia,Western Asia,Georgia,GEO,1.82,0.01,0.53 
Africa,Western Africa,Ghana,GHA,3.60,0.02,2.03 
Americas,Central America,Guatemala,GTM,12.91,0.04,3.51 
